name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
NGC6325,,GCl,amas globulaire,17.2998,-23.766,4.02,4.02,11.49,sans,
NGC6322,,OCl,amas ouvert,17.3072,-42.934,6.30,6.30,6.0,sans,
M9,,GCl,amas globulaire,17.3199,-18.5162,6.90,6.90,8.42,sans,9
NGC6342,,GCl,amas globulaire,17.3528,-19.5874,6.60,6.60,10.01,sans,
NGC6356,,GCl,amas globulaire,17.3931,-17.813,5.40,5.40,7.42,sans,
NGC6355,,GCl,amas globulaire,17.3996,-26.3534,2.70,2.70,11.05,sans,
IC4651,,OCl,amas ouvert,17.4136,-49.9382,9.60,9.60,6.9,sans,
NGC6352,,GCl,amas globulaire,17.4248,-48.4227,7.20,7.20,8.87,sans,
NGC6369,Little Ghost Nebula,PN,nebuleuse planetaire,17.489,-23.7594,0.63,0.63,11.4,LP,
NGC6412,,G,galaxie,17.4938,75.7044,2.13,1.84,11.83,sans,
NGC6362,,GCl,amas globulaire,17.5319,-67.0479,8.40,8.40,8.86,sans,
NGC6384,,G,galaxie,17.5401,7.0603,2.45,1.11,10.63,sans,
NGC6374,,OCl,amas ouvert,17.5785,-32.5814,6.90,6.90,5.5,sans,
NGC6411,,G,galaxie,17.5925,60.8134,1.76,1.15,11.86,sans,
NGC6388,,GCl,amas globulaire,17.6048,-44.7356,8.40,8.40,7.4,sans,
M14,,GCl,amas globulaire,17.6267,-3.2459,9.9,9.9,5.73,sans,14
NGC6396,,OCl,amas ouvert,17.6268,-35.0259,3.30,3.30,8.5,sans,
NGC6401,,GCl,amas globulaire,17.6436,-23.9088,4.50,4.50,10.71,sans,
NGC6404,,OCl,amas ouvert,17.6604,-33.2467,4.20,4.20,10.6,sans,
NGC6400,,OCl,amas ouvert,17.6702,-36.9477,6.00,6.00,8.8,sans,
M6,Butterfly Cluster,OCl,amas ouvert,17.6724,-32.2542,15.60,15.60,4.2,sans,6
NGC6397,,GCl,amas globulaire,17.6782,-53.6737,15.30,15.30,5.17,sans,
IC1266,,PN,nebuleuse planetaire,17.7598,-46.0899,0.16,0.16,11.2,LP,
IC4665,,OCl,amas ouvert,17.7742,5.6487,24.60,24.60,4.2,sans,
NGC6425,,OCl,amas ouvert,17.7838,-31.5294,4.80,4.80,7.2,sans,
IC4662,,G,galaxie,17.7858,-64.6418,2.09,0.83,11.1,sans,
NGC6440,,GCl,amas globulaire,17.8146,-20.3596,5.10,5.10,10.1,sans,
NGC6445,Little Gem,PN,nebuleuse planetaire,17.8209,-20.0095,0.55,0.55,11.2,LP,
NGC6503,,G,galaxie,17.824,70.1444,5.94,1.98,10.12,sans,
NGC6441,,GCl,amas globulaire,17.8369,-37.0511,4.80,4.80,8.0,sans,
NGC6451,,OCl,amas ouvert,17.8446,-30.2116,7.20,7.20,8.2,sans,
NGC6453,,GCl,amas globulaire,17.8477,-34.5999,5.40,5.40,10.49,sans,
NGC6482,,G,galaxie,17.8636,23.0719,2.03,1.71,11.33,sans,
NGC6487,,G,galaxie,17.8783,29.8386,1.80,1.57,11.97,sans,
NGC6469,,OCl,amas ouvert,17.8867,-22.2751,9.00,9.00,8.2,sans,
M7,Ptolemy's Cluster,OCl,amas ouvert,17.8975,-34.7928,22.20,22.20,3.3,sans,7
M23,,OCl,amas ouvert,17.9513,-18.9853,16.80,16.80,5.5,sans,23
NGC6543,Cat's Eye Nebula,PN,nebuleuse planetaire,17.9759,66.6332,0.90,0.90,9.01,LP,
NGC6496,,GCl,amas globulaire,17.9844,-44.2663,4.62,4.62,9.96,sans,
NGC6483,,G,galaxie,17.9919,-63.6687,1.83,1.49,11.96,sans,
NGC6507,,OCl,amas ouvert,17.9974,-17.4503,4.80,4.80,9.6,sans,
NGC6517,,GCl,amas globulaire,18.0307,-8.9595,4.80,4.80,11.08,sans,
M20,Trifid Nebula,Neb,nebuleuse,18.045,-22.9719,28.00,28.00,8.5,LP,20
NGC6492,,G,galaxie,18.0468,-66.4306,2.38,1.38,11.94,sans,
NGC6520,,OCl,amas ouvert,18.0567,-27.8861,5.40,5.40,7.6,sans,
NGC6522,,GCl,amas globulaire,18.0595,-30.034,3.90,3.90,9.48,sans,
M8,Lagoon Nebula,Neb,nebuleuse,18.0615,-24.3802,45.00,30.00,5.8,LP,8
NGC6535,,GCl,amas globulaire,18.0641,-0.2969,3.60,3.60,9.85,sans,
M21,,OCl,amas ouvert,18.0704,-22.4901,6.00,6.00,5.9,sans,21
NGC6530,,Cl+N,amas + nebuleuse,18.0753,-24.3581,6.00,6.00,4.6,LP,
NGC6528,,GCl,amas globulaire,18.0804,-30.0558,3.60,3.60,10.65,sans,
NGC6537,Red Spider Nebula,PN,nebuleuse planetaire,18.087,-19.843,0.17,0.17,11.6,LP,
NGC6548,,G,galaxie,18.0998,18.5872,2.65,2.37,11.73,sans,
IC4678,,Neb,nebuleuse,18.1093,-23.9544,,,10.4,LP,
NGC6544,,GCl,amas globulaire,18.1222,-24.9984,6.00,6.00,9.9,sans,
NGC6546,,OCl,amas ouvert,18.1229,-23.2962,6.90,6.90,8.0,sans,
NGC6541,,GCl,amas globulaire,18.134,-43.7159,7.50,7.50,7.32,sans,
NGC6553,,GCl,amas globulaire,18.1549,-25.9079,5.40,5.40,9.08,sans,
NGC6558,,GCl,amas globulaire,18.1718,-31.7635,5.40,5.40,11.29,sans,
NGC6574,,G,galaxie,18.1976,14.9818,1.57,1.20,11.96,sans,
NGC6565,,PN,nebuleuse planetaire,18.1979,-28.1783,0.23,0.23,11.6,LP,
NGC6563,,PN,nebuleuse planetaire,18.2007,-33.8683,0.79,0.79,11.0,LP,
NGC6572,,PN,nebuleuse planetaire,18.2017,6.8537,0.18,0.18,8.1,LP,
NGC6568,,OCl,amas ouvert,18.2123,-21.628,7.80,7.80,8.6,sans,
NGC6569,,GCl,amas globulaire,18.2274,-31.8277,4.50,4.50,9.47,sans,
NGC6567,,PN,nebuleuse planetaire,18.2292,-19.0758,0.13,0.13,11.0,LP,
NGC6583,,OCl,amas ouvert,18.2636,-22.1376,3.60,3.60,10.0,sans,
NGC6605,,OCl,amas ouvert,18.2727,-15.0152,6.30,6.30,6.0,sans,
NGC6589,,Neb,nebuleuse,18.282,-19.7771,4.00,3.00,10.5,LP,
M24,Small Sgr Star Cloud,*Ass,association d'etoiles,18.2823,-18.5146,120.00,60.00,4.5,sans,24
NGC6590,,RfN,nebuleuse par reflexion,18.2847,-19.8661,4.00,3.00,9.8,sans,
IC1284,,Neb,nebuleuse,18.2943,-19.672,16.98,15.14,7.7,LP,
NGC6604,,OCl,amas ouvert,18.3008,-12.2431,9.60,9.60,6.5,sans,
NGC6603,,OCl,amas ouvert,18.3075,-18.4061,4.20,4.20,11.1,sans,
NGC6584,,GCl,amas globulaire,18.3105,-52.2152,5.10,5.10,8.17,sans,
M16,Eagle Nebula,Neb,nebuleuse,18.3134,-13.8072,120.00,25.00,6.0,LP,16
IC4703,Eagle Nebula,Neb,nebuleuse,18.3156,-13.8454,5.05,5.05,6.0,LP,
NGC6643,,G,galaxie,18.3296,74.5684,3.32,1.63,11.11,sans,
M18,,OCl,amas ouvert,18.3329,-17.102,6.00,6.00,6.9,sans,18
M17,Checkmark Nebula,Neb,nebuleuse,18.3464,-16.1715,12.60,12.60,7.0,LP,17
NGC6438,,G,galaxie,18.3715,-85.4021,1.76,1.49,11.61,sans,
NGC6625,,OCl,amas ouvert,18.3798,-11.955,6.00,6.00,9.0,sans,
NGC6654,,G,galaxie,18.4021,73.1832,2.91,2.23,11.84,sans,
M28,,GCl,amas globulaire,18.4091,-24.8698,5.10,5.10,6.9,sans,28
NGC6629,,PN,nebuleuse planetaire,18.4285,-23.2029,0.26,0.26,11.3,LP,
NGC6631,,OCl,amas ouvert,18.4532,-12.0312,5.70,5.70,11.7,sans,
NGC6633,,OCl,amas ouvert,18.4542,6.5082,12.00,12.00,4.6,sans,
IC4710,,G,galaxie,18.4772,-66.9823,3.49,2.99,12.0,sans,
NGC6638,,GCl,amas globulaire,18.5156,-25.4964,4.20,4.20,9.68,sans,
M69,,GCl,amas globulaire,18.5231,-32.348,5.70,5.70,8.31,sans,69
IC1287,,RfN,nebuleuse par reflexion,18.5238,-10.7958,20.00,10.00,6.1,sans,
M25,,OCl,amas ouvert,18.5297,-19.1149,14.10,14.10,4.6,sans,25
NGC6642,,GCl,amas globulaire,18.5317,-23.4761,3.90,3.90,10.24,sans,
NGC6644,,PN,nebuleuse planetaire,18.543,-25.1294,0.04,0.04,10.7,LP,
NGC6645,,OCl,amas ouvert,18.5439,-16.8839,5.40,5.40,8.5,sans,
NGC6647,,OCl,amas ouvert,18.547,-17.2287,3.60,3.60,8.0,sans,
NGC6649,,OCl,amas ouvert,18.5578,-10.4028,5.58,5.58,8.9,sans,
NGC6658,,G,galaxie,18.5655,22.8883,1.50,0.25,11.8,sans,
IC4721,,G,galaxie,18.5735,-58.4966,5.30,1.64,11.82,sans,
NGC6652,,GCl,amas globulaire,18.596,-32.9903,5.10,5.10,9.75,sans,
M22,,GCl,amas globulaire,18.6067,-23.9034,12.60,12.60,6.17,sans,22
NGC6664,,OCl,amas ouvert,18.6093,-8.2208,6.00,6.00,7.8,sans,
IC4756,,OCl,amas ouvert,18.6476,5.4622,24.00,24.00,4.6,sans,
NGC6683,,OCl,amas ouvert,18.7039,-6.2123,3.00,3.00,9.4,sans,
M70,,GCl,amas globulaire,18.7202,-32.2919,6.60,6.60,9.06,sans,70
NGC6673,,G,galaxie,18.7518,-62.2972,2.60,1.44,11.72,sans,
M26,,OCl,amas ouvert,18.7552,-9.3836,6.00,6.00,8.87,sans,26
IC4776,,PN,nebuleuse planetaire,18.7641,-33.3431,0.12,0.12,10.8,LP,
IC4765,,G,galaxie,18.7883,-63.3313,3.79,2.84,11.19,sans,
NGC6703,,G,galaxie,18.7886,45.5506,2.43,2.38,11.38,sans,
NGC6684,,G,galaxie,18.8161,-65.1734,4.19,2.96,10.5,sans,
NGC6704,,OCl,amas ouvert,18.846,-5.2054,3.30,3.30,9.2,sans,
M11,Amas de l'Ecu de Sobieski,OCl,amas ouvert,18.8517,-6.27,9.00,9.00,5.8,sans,11
NGC6709,,OCl,amas ouvert,18.8553,10.3187,8.70,8.70,6.7,sans,
NGC6712,,GCl,amas globulaire,18.8847,-8.7055,5.70,5.70,8.69,sans,
M57,Ring Nebula,PN,nebuleuse planetaire,18.8931,33.0286,1.27,1.27,8.8,LP,57
NGC6716,,OCl,amas ouvert,18.9095,-19.9011,7.20,7.20,7.5,sans,
M54,,GCl,amas globulaire,18.9176,-30.4785,5.10,5.10,7.7,sans,54
NGC6717,,GCl,amas globulaire,18.9183,-22.7016,3.90,3.90,10.35,sans,
IC4797,,G,galaxie,18.9416,-54.3058,2.62,1.85,11.32,sans,
NGC6743,,OCl,amas ouvert,19.0224,29.2775,6.90,6.90,8.2,sans,
NGC6738,,*Ass,association d'etoiles,19.0227,11.6156,5.40,5.40,8.3,sans,
NGC6741,Phantom Streak Nebula,PN,nebuleuse planetaire,19.0436,-0.4494,0.13,0.13,11.5,LP,
NGC6751,,PN,nebuleuse planetaire,19.0988,-5.9923,0.34,0.34,11.9,LP,
NGC6755,,OCl,amas ouvert,19.1303,4.2664,6.00,6.00,7.5,sans,
NGC6756,,OCl,amas ouvert,19.1452,4.7058,3.60,3.60,10.6,sans,
NGC6744,,G,galaxie,19.1628,-63.8575,15.67,9.75,9.25,sans,
NGC6752,,GCl,amas globulaire,19.1811,-59.9819,13.20,13.20,6.28,sans,
NGC6760,,GCl,amas globulaire,19.1867,1.0305,5.40,5.40,9.78,sans,
NGC6753,,G,galaxie,19.1899,-57.0496,2.97,2.60,11.04,sans,
NGC6758,,G,galaxie,19.2312,-56.3099,2.75,2.14,11.39,sans,
IC4837A,,G,galaxie,19.2545,-54.1325,4.47,0.85,11.71,sans,
IC4846,,PN,nebuleuse planetaire,19.2745,-9.0436,0.03,0.03,11.9,LP,
M56,,GCl,amas globulaire,19.2765,30.1845,5.80,5.80,8.4,sans,56
IC1297,,PN,nebuleuse planetaire,19.2898,-39.6131,0.12,0.12,10.7,LP,
NGC6769,,G,galaxie,19.3063,-60.5011,2.86,2.19,11.77,sans,
NGC6781,,PN,nebuleuse planetaire,19.3079,6.5397,1.80,1.80,11.4,LP,
NGC6770,,G,galaxie,19.3104,-60.4965,2.39,1.72,11.86,sans,
IC4845,,G,galaxie,19.3396,-60.3892,1.95,1.46,11.97,sans,
NGC6791,,OCl,amas ouvert,19.3481,37.7719,6.30,6.30,9.5,sans,
NGC6790,,PN,nebuleuse planetaire,19.3825,1.5133,0.12,0.12,10.5,LP,
NGC6782,,G,galaxie,19.3994,-59.9225,2.45,1.49,11.98,sans,
NGC6802,,OCl,amas ouvert,19.5097,20.261,4.50,4.50,8.8,sans,
NGC6803,,PN,nebuleuse planetaire,19.5212,10.056,0.09,0.09,11.4,LP,
NGC6804,,PN,nebuleuse planetaire,19.5265,9.2252,0.58,0.58,12.0,LP,
NGC6807,,PN,nebuleuse planetaire,19.576,5.6842,0.03,0.03,12.0,LP,
NGC6811,,OCl,amas ouvert,19.6216,46.3888,7.20,7.20,6.8,sans,
M55,,GCl,amas globulaire,19.6665,-30.9621,12.00,12.00,6.49,sans,55
NGC6819,Foxhead Cluster,OCl,amas ouvert,19.6884,40.1867,6.90,6.90,7.3,sans,
NGC6814,,G,galaxie,19.7113,-10.3235,3.08,0.74,11.32,sans,
NGC6823,,Cl+N,amas + nebuleuse,19.7194,23.2999,6.00,6.00,7.1,LP,
NGC6810,,G,galaxie,19.7262,-58.6556,3.79,1.05,11.42,sans,
NGC6824,,G,galaxie,19.728,56.1095,1.91,1.39,11.76,sans,
NGC6818,Little Gem Nebula,PN,nebuleuse planetaire,19.7327,-14.1532,0.77,0.77,9.3,LP,
NGC6826,Blinking Planetary,PN,nebuleuse planetaire,19.7467,50.525,0.42,0.42,9.44,LP,
NGC6822,Barnard's Galaxy,G,galaxie,19.7494,-14.8034,17.38,16.75,10.05,sans,
IC4889,,G,galaxie,19.7542,-54.3441,2.99,2.49,11.22,sans,
NGC6830,,OCl,amas ouvert,19.8499,23.1001,4.20,4.20,7.9,sans,
NGC6834,,OCl,amas ouvert,19.8702,29.4082,4.50,4.50,7.8,sans,
M71,,GCl,amas globulaire,19.8961,18.7784,6.90,6.90,6.1,sans,71
IC4901,,G,galaxie,19.9065,-58.7136,3.68,2.54,11.65,sans,
M27,Dumbbell Nebula,PN,nebuleuse planetaire,19.9934,22.721,6.70,6.70,7.4,LP,27
IC4931,,G,galaxie,20.014,-38.5751,2.28,1.43,11.88,sans,
NGC6857,,HII,region HII,20.03,33.5259,0.63,0.63,11.4,LP,
NGC6851,,G,galaxie,20.0595,-48.2845,2.18,1.70,11.84,sans,
NGC6866,,OCl,amas ouvert,20.0653,44.1591,5.10,5.10,7.6,sans,
NGC6871,,OCl,amas ouvert,20.0998,35.7773,9.30,9.30,5.2,sans,
M75,,GCl,amas globulaire,20.1013,-21.9222,3.60,3.60,8.26,sans,75
NGC6861,,G,galaxie,20.1221,-48.3702,3.18,2.36,11.04,sans,
NGC6861D,,G,galaxie,20.1387,-48.2114,2.36,0.85,11.94,sans,
NGC6868,,G,galaxie,20.165,-48.3796,3.58,3.13,10.59,sans,
NGC6870,,G,galaxie,20.1697,-48.2871,2.56,1.08,11.94,sans,
NGC6884,,PN,nebuleuse planetaire,20.1732,46.4608,0.10,0.10,10.9,LP,
NGC6883,,OCl,amas ouvert,20.1888,35.8322,4.50,4.50,8.0,sans,
NGC6888,Crescent Nebula,HII,region HII,20.2018,38.3549,20.00,10.00,7.44,LP,
NGC6886,,PN,nebuleuse planetaire,20.2119,19.9897,0.09,0.09,11.4,LP,
NGC6891,,PN,nebuleuse planetaire,20.2525,12.7044,0.25,0.25,10.5,LP,
IC4996,,OCl,amas ouvert,20.2759,37.5553,6.00,6.00,7.3,sans,
NGC6872,,G,galaxie,20.2824,-70.7679,4.70,1.80,11.64,sans,
NGC6876,,G,galaxie,20.3053,-70.8588,3.46,3.00,10.83,sans,
IC4991,,G,galaxie,20.3065,-41.0502,2.91,2.13,11.54,sans,
IC4997,,PN,nebuleuse planetaire,20.3358,16.7317,0.03,0.03,10.5,LP,
NGC6893,,G,galaxie,20.3471,-48.2391,2.87,1.78,11.71,sans,
NGC6905,Blue Flash Nebula,PN,nebuleuse planetaire,20.3731,20.1045,0.67,0.67,11.1,LP,
NGC6910,,OCl,amas ouvert,20.3867,40.7786,6.30,6.30,7.4,sans,
M29,,OCl,amas ouvert,20.3994,38.5077,3.60,3.60,6.6,sans,29
IC4946,,G,galaxie,20.3995,-43.9953,2.50,0.90,11.92,sans,
NGC6902,,G,galaxie,20.4078,-43.6535,2.69,2.11,11.48,sans,
NGC6907,,G,galaxie,20.4185,-24.8092,3.33,2.68,11.16,sans,
NGC6909,,G,galaxie,20.4608,-47.027,2.36,1.29,11.99,sans,
IC5011,,G,galaxie,20.4761,-36.0271,3.01,1.32,11.84,sans,
NGC6939,,OCl,amas ouvert,20.525,60.6621,12.00,12.00,7.8,sans,
NGC6934,,GCl,amas globulaire,20.5699,7.4041,5.40,5.40,9.75,sans,
NGC6925,,G,galaxie,20.5724,-31.9809,4.68,1.16,11.35,sans,
NGC6940,,OCl,amas ouvert,20.5741,28.2827,10.80,10.80,6.3,sans,
NGC6946,Fireworks Galaxy,G,galaxie,20.5812,60.1539,11.40,10.84,9.05,sans,
NGC6935,,G,galaxie,20.639,-52.1104,2.18,1.91,12.0,sans,
NGC6942,,G,galaxie,20.6772,-54.3031,2.24,1.71,11.97,sans,
NGC6920,,G,galaxie,20.7326,-80.0008,2.30,1.86,11.97,sans,
NGC6943,,G,galaxie,20.7427,-68.7477,3.75,2.22,11.39,sans,
NGC6960,Veil Nebula,SNR,remanent de supernova,20.7662,30.5951,210.00,160.00,7.0,LP,
NGC6962,,G,galaxie,20.7886,0.3208,2.70,2.00,11.89,sans,
NGC6958,,G,galaxie,20.8118,-37.9974,2.44,1.88,11.4,sans,
IC5070,Pelican Nebula,HII,region HII,20.8502,44.4015,60.00,50.00,8.0,LP,
IC5052,,G,galaxie,20.8682,-69.2016,7.16,1.33,11.34,sans,
M72,,GCl,amas globulaire,20.8911,-12.5371,4.50,4.50,8.96,sans,72
NGC6992,Eastern Veil,SNR,remanent de supernova,20.9386,31.7428,60.00,8.00,7.0,LP,
NGC6997,,Cl+N,amas + nebuleuse,20.9443,44.6315,6.90,6.90,10.0,LP,
NGC6995,Eastern Veil,SNR,remanent de supernova,20.953,31.2352,12.00,12.00,7.0,LP,
NGC7000,North America Nebula,HII,region HII,20.9881,44.5288,120.00,30.00,4.0,LP,
NGC7008,,PN,nebuleuse planetaire,21.0091,54.5432,1.43,1.43,10.7,LP,
NGC7006,,GCl,amas globulaire,21.0248,16.1875,4.20,4.20,10.46,sans,
NGC7023,Iris Nebula,Neb,nebuleuse,21.0266,68.1696,10.00,8.00,7.2,LP,
NGC7013,,G,galaxie,21.0593,29.8975,4.16,1.33,11.3,sans,
NGC7009,Saturn Nebula,PN,nebuleuse planetaire,21.0697,-11.3632,0.70,0.52,8.0,LP,
NGC7007,,G,galaxie,21.0911,-52.552,3.39,1.23,11.95,sans,
NGC7026,,PN,nebuleuse planetaire,21.1051,47.8522,0.33,0.33,10.9,LP,
NGC7027,,PN,nebuleuse planetaire,21.1171,42.2365,0.23,0.23,8.5,LP,
NGC7031,,OCl,amas ouvert,21.1202,50.8756,3.90,3.90,9.1,sans,
NGC7039,,OCl,amas ouvert,21.1799,45.6218,7.80,7.80,7.6,sans,
NGC7020,,G,galaxie,21.1889,-64.0253,4.10,1.67,11.74,sans,
NGC7029,,G,galaxie,21.1978,-49.2837,2.75,1.57,11.67,sans,
NGC7044,,OCl,amas ouvert,21.2193,42.4962,6.00,6.00,12.0,sans,
NGC7041,,G,galaxie,21.2757,-48.3636,3.46,1.47,11.3,sans,
NGC7049,,G,galaxie,21.3167,-48.5622,3.94,2.69,10.55,sans,
NGC7062,,OCl,amas ouvert,21.391,46.3785,3.60,3.60,8.3,sans,
NGC7063,,OCl,amas ouvert,21.406,36.4875,6.30,6.30,7.0,sans,
IC5105,,G,galaxie,21.4061,-40.5377,2.98,1.64,11.6,sans,
NGC7067,,OCl,amas ouvert,21.4064,48.0093,2.40,2.40,9.7,sans,
NGC7082,,OCl,amas ouvert,21.4883,47.1263,9.00,9.00,7.2,sans,
M15,,GCl,amas globulaire,21.4995,12.1668,11.10,11.10,6.3,sans,15
NGC7086,,OCl,amas ouvert,21.5077,51.6005,4.80,4.80,8.4,sans,
M39,,OCl,amas ouvert,21.5301,48.4382,19.50,19.50,4.6,sans,39
IC5117,,PN,nebuleuse planetaire,21.5419,44.5966,0.02,0.02,11.5,LP,
NGC7079,,G,galaxie,21.5431,-44.0676,2.30,1.44,11.65,sans,
M2,,GCl,amas globulaire,21.5575,-0.8233,8.40,8.40,6.25,sans,2
NGC7083,,G,galaxie,21.5957,-63.9028,3.56,1.98,11.24,sans,
NGC7090,,G,galaxie,21.608,-54.5573,8.15,1.63,10.87,sans,
NGC7097,,G,galaxie,21.6703,-42.5394,1.89,1.36,11.7,sans,
M30,,GCl,amas globulaire,21.6728,-23.1791,9.00,9.00,7.1,sans,30
NGC7096,,G,galaxie,21.6887,-63.9087,2.10,1.98,11.97,sans,
NGC7129,,Cl+N,amas + nebuleuse,21.7164,66.113,2.10,2.10,11.5,LP,
NGC7128,,OCl,amas ouvert,21.7327,53.7151,3.00,3.00,9.7,sans,
NGC7098,,G,galaxie,21.7378,-75.1113,1.78,0.91,11.53,sans,
NGC7142,,OCl,amas ouvert,21.7526,65.7744,9.60,9.60,9.3,sans,
NGC7140,,G,galaxie,21.8709,-55.5697,3.04,2.07,11.68,sans,
NGC7095,,G,galaxie,21.874,-81.5308,2.71,2.21,11.92,sans,
NGC7144,,G,galaxie,21.8785,-48.2537,3.41,3.20,11.0,sans,
NGC7145,,G,galaxie,21.889,-47.8824,2.95,0.76,11.12,sans,
IC5146,Cocoon Nebula,Cl+N,amas + nebuleuse,21.8913,47.2669,10.00,10.00,7.2,LP,
NGC7160,,OCl,amas ouvert,21.8945,62.6033,4.20,4.20,6.1,sans,
IC5148,,PN,nebuleuse planetaire,21.9931,-39.3858,2.30,2.30,11.0,LP,
NGC7177,,G,galaxie,22.0115,17.7381,2.85,1.93,11.13,sans,
NGC7173,,G,galaxie,22.0342,-31.9737,1.88,1.53,11.98,sans,
NGC7168,,G,galaxie,22.0354,-51.7431,2.23,1.64,11.9,sans,
NGC7184,,G,galaxie,22.0444,-20.8128,5.98,1.26,11.0,sans,
IC5152,,G,galaxie,22.0449,-51.2964,5.13,3.60,10.68,sans,
NGC7209,,OCl,amas ouvert,22.0855,46.4835,6.00,6.00,7.7,sans,
NGC7192,,G,galaxie,22.1139,-64.3162,2.42,2.31,11.28,sans,
NGC7217,,G,galaxie,22.1312,31.3593,4.52,3.84,10.47,sans,
NGC7205,,G,galaxie,22.1429,-57.4426,3.70,1.71,10.97,sans,
NGC7213,,G,galaxie,22.1545,-47.1666,4.84,3.89,11.15,sans,
NGC7218,,G,galaxie,22.1699,-16.661,2.55,1.07,11.91,sans,
NGC7226,,OCl,amas ouvert,22.1741,55.3986,3.00,3.00,9.6,sans,
NGC7234,,OCl,amas ouvert,22.2069,57.2713,2.40,2.40,7.7,sans,
IC5181,,G,galaxie,22.2227,-46.0176,2.65,0.86,11.48,sans,
NGC7243,,OCl,amas ouvert,22.2524,49.8975,15.00,15.00,6.4,sans,
NGC7245,,OCl,amas ouvert,22.2532,54.3426,3.90,3.90,9.2,sans,
NGC7232,,G,galaxie,22.2606,-45.8501,2.86,1.04,11.89,sans,
IC1442,,OCl,amas ouvert,22.267,53.9913,4.20,4.20,9.1,sans,
IC5186,,G,galaxie,22.3129,-36.8016,2.11,1.44,11.93,sans,
NGC7261,,OCl,amas ouvert,22.3351,58.0518,6.90,6.90,8.4,sans,
IC5201,,G,galaxie,22.3493,-46.0359,6.70,2.86,11.37,sans,
IC5217,,PN,nebuleuse planetaire,22.3988,50.9667,0.11,0.11,11.3,LP,
NGC7295,,OCl,amas ouvert,22.4675,52.2891,2.70,2.70,9.7,sans,
NGC7293,Helix Nebula,PN,nebuleuse planetaire,22.494,-20.8373,16.33,16.33,7.3,LP,
NGC7314,,G,galaxie,22.5962,-26.0505,4.21,1.71,11.22,sans,
NGC7331,,G,galaxie,22.6178,34.4155,9.27,3.76,9.41,sans,
NGC7332,,G,galaxie,22.6235,23.7983,2.95,0.71,11.05,sans,
NGC7329,,G,galaxie,22.6734,-66.479,3.12,2.37,11.7,sans,
IC5240,,G,galaxie,22.6979,-44.7672,3.20,2.22,11.66,sans,
IC5250A,,G,galaxie,22.7882,-65.0597,1.51,1.31,11.11,sans,
NGC7380,,Cl+N,amas + nebuleuse,22.7892,58.1324,25.00,20.00,7.2,LP,
NGC7377,,G,galaxie,22.7965,-22.3121,3.92,3.13,11.19,sans,
NGC7392,,G,galaxie,22.8635,-20.6081,2.24,1.19,11.84,sans,
NGC7410,,G,galaxie,22.9169,-39.6613,6.01,1.77,11.19,sans,
NGC7412,,G,galaxie,22.9294,-42.642,3.79,2.79,11.33,sans,
NGC7418,,G,galaxie,22.9434,-37.0301,3.66,2.83,11.04,sans,
NGC7421,,G,galaxie,22.9484,-37.3473,2.38,1.95,11.99,sans,
IC1459,,G,galaxie,22.9529,-36.4622,4.61,3.23,10.54,sans,
IC5267,,G,galaxie,22.9538,-43.3961,5.58,4.06,10.43,sans,
NGC7424,,G,galaxie,22.9551,-41.0706,5.01,2.69,10.18,sans,
IC5271,,G,galaxie,22.9672,-33.7422,3.00,1.16,11.54,sans,
IC5273,,G,galaxie,22.9908,-37.7029,3.07,1.98,11.45,sans,
NGC7448,,G,galaxie,23.001,15.9803,2.07,0.81,11.69,sans,
NGC7457,,G,galaxie,23.0166,30.1449,3.95,2.25,10.98,sans,
NGC7454,,G,galaxie,23.0185,16.3884,1.54,0.75,11.86,sans,
NGC7456,,G,galaxie,23.0362,-39.5694,5.15,1.76,11.88,sans,
NGC7479,,G,galaxie,23.0824,12.3229,3.65,2.72,11.09,sans,
IC1470,,HII,region HII,23.0862,60.2441,1.80,1.80,11.5,LP,
NGC7492,,GCl,amas globulaire,23.1407,-15.6115,3.00,3.00,10.48,sans,
NGC7510,,OCl,amas ouvert,23.1844,60.5709,3.90,3.90,7.9,sans,
NGC7507,,G,galaxie,23.2021,-28.5396,3.33,3.20,10.04,sans,
NGC7513,,G,galaxie,23.2206,-28.3575,3.19,1.92,11.8,sans,
NGC7541,,G,galaxie,23.2455,4.5344,3.03,1.00,11.76,sans,
NGC7531,,G,galaxie,23.2468,-43.5999,4.11,1.72,11.25,sans,
NGC7562,,G,galaxie,23.266,6.6875,2.18,1.59,11.55,sans,
NGC7552,,G,galaxie,23.2697,-42.5847,3.88,3.58,11.45,sans,
NGC7585,,G,galaxie,23.3004,-4.6503,2.55,1.92,11.52,sans,
NGC7582,,G,galaxie,23.3065,-42.3706,6.95,3.18,11.03,sans,
NGC7600,,G,galaxie,23.315,-7.5804,2.09,0.99,11.95,sans,
NGC7606,,G,galaxie,23.318,-8.4851,5.26,4.47,11.0,sans,
NGC7599,,G,galaxie,23.3225,-42.2568,4.81,1.58,11.35,sans,
NGC7619,,G,galaxie,23.3374,8.2062,2.53,1.97,11.06,sans,
NGC7626,,G,galaxie,23.3452,8.217,2.50,2.10,11.12,sans,
NGC7635,Bubble Nebula,HII,region HII,23.346,61.2124,15.00,8.00,11.0,LP,
NGC7640,,G,galaxie,23.3685,40.8454,8.09,1.67,11.01,sans,
